split,seed,relevance,mode,need_policy,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_bypassed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,self_domain_observation_share,mean_need_target_mass_share,mean_need_true_core_mass_share,mean_sensed_need_mass_share,need_present_step_share,causal_isolating_observation_share,true_core_sensing_share,causal_target_sensing_share,other_core_mean_sensing_share,causal_target_sensing_selectivity,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count,yoke_donor_seed,yoke_component_shift
confirmation,30000,neutral,no_bridge_validation,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,43,0.05512820512820513,1,264,601,0,1,0,0,1,0.8531634167001945,-4.308053154717523e-05,42,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6385121843054362,0.7742239779140521,0.6555944055944056,0.3359876922636802,0.9064989676476883,0.29530262586017747,1.0,0.1853146853146853,0.513986013986014,0.6136363636363636,0.10358391608391608,0.5100524475524476,3.5489000000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30000,neutral,no_null,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,43,0.05512820512820513,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0004679896510131282,0,0,0,0,0,0,0,0,0,1,0,1,0.6383591788069395,0.7736732580814725,0.6538461538461539,0.33438465330331363,0.9077040772458357,0.2917277467032766,1.0,0.1853146853146853,0.5104895104895105,0.6048951048951049,0.10402097902097902,0.5008741258741258,3.597700000000022,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30000,neutral,no_null_no_validation,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,43,0.05512820512820513,1,259,259,1,0,0,0,0,0.8531634167001945,-4.308053154717523e-05,42,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6385451436325583,0.7755081176047913,0.6503496503496503,0.33194330460814725,0.8996296190462092,0.3022283310468137,1.0,0.18356643356643357,0.5174825174825175,0.6083916083916084,0.10664335664335664,0.5017482517482518,3.599950000000022,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30000,self_relevant,correlation_self_model,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.4166666666666667,1.0,0,0,4,41,0.052564102564102565,1,266,601,0,1,1,0,0,0.8485294240751853,0.0013530238743624501,42,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7871323776673753,0.8197579714308272,0.6625874125874126,0.0481524853154128,0.24482039386782484,0.20454797513887596,1.0,0.1853146853146853,0.2508741258741259,0.12412587412587413,0.09440559440559441,0.029720279720279713,3.5538500000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30000,self_relevant,pair_limited,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,2,27,0.03461538461538462,0,601,601,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.695516728003586,0.7740129464116425,0.6678321678321678,0.1863254973345917,0.8776348085868811,0.2580394087325322,1.0,0.17657342657342656,0.5087412587412588,0.23076923076923078,0.19667832167832167,0.034090909090909116,3.2422000000000053,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30000,self_relevant,passive_only,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,0,0,0.0,0,601,601,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8716346293981656,0.8911888376768659,0.5769230769230769,0.011111241469760955,0.35366840538706573,0.28957080461966533,1.0,0.0,0.3723776223776224,0.11888111888111888,0.15646853146853146,-0.03758741258741258,2.909200000000006,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0,,
confirmation,30001,neutral,no_bridge_validation,actual,"1,0,6,8,7,11",6,chain,m2,m0,p1>p0>p1>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,285,601,0,1,0,1,1,0.9756525256058897,0.0011462739117043136,44,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6458172656402932,0.8012513296588852,0.6625874125874126,0.5169171099491057,0.9071313708817413,0.5326201878296486,1.0,0.22552447552447552,0.7263986013986014,0.9545454545454546,0.09965034965034965,0.8548951048951049,3.727500000000015,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30001,neutral,no_null,actual,"1,0,6,8,7,11",6,chain,m2,m0,p1>p0>p1>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,0.8333333333333334,0,0,4,49,0.0175,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.00019707776721400536,0,0,0,0,0,0,0,0,0,1,0,1,0.6437500392762083,0.7994341368082124,0.666083916083916,0.5168878253000767,0.9055268322096337,0.5323300916585427,1.0,0.22552447552447552,0.7263986013986014,0.9527972027972028,0.09999999999999999,0.8527972027972028,3.7840000000000167,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30001,neutral,no_null_no_validation,actual,"1,0,6,8,7,11",6,chain,m2,m0,p1>p0>p1>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,0.8333333333333334,0,0,4,49,0.0175,1,275,275,1,0,0,0,0,0.9017295918326923,0.002610846480870344,44,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6464431078510359,0.8027673258218279,0.6678321678321678,0.537575551014762,0.9010139294226328,0.5567022108882648,1.0,0.22727272727272727,0.7263986013986014,0.958041958041958,0.09895104895104895,0.8590909090909091,3.7932000000000166,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30001,self_relevant,correlation_self_model,actual,"1,0,6,8,7,11",6,chain,m2,m0,p1>p0>p1>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,0.4166666666666667,0.8333333333333334,1,1,4,49,0.0175,1,337,601,0,1,1,1,0,0.976073762167549,0.0014768630799515963,59,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.803996678267077,0.837667324594665,0.6608391608391608,0.06103255979091425,0.16753078006833932,0.45997000264042254,1.0,0.22552447552447552,0.2674825174825175,0.10664335664335664,0.08566433566433566,0.020979020979020976,3.7275000000000147,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
