split,relevance,mode,core_size,program_length,grammar_family,label_permuted,nonstationary,runs,primitive_cardinality,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_bypassed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,self_domain_observation_share,mean_need_target_mass_share,mean_need_true_core_mass_share,mean_sensed_need_mass_share,need_present_step_share,causal_isolating_observation_share,true_core_sensing_share,causal_target_sensing_share,other_core_mean_sensing_share,causal_target_sensing_selectivity,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count,replay_exact_match,replayed_observations,common_decoder_diagnosis_made,common_decoder_observations,common_decoder_mechanism_correct,common_decoder_bridge_correct,common_decoder_validation_attempted,common_decoder_validation_passed,common_decoder_repair_attempted,common_decoder_repair_correct,common_decoder_organization_restored,common_decoder_replication_attempted,common_decoder_replication_success,common_decoder_replicated_restoration,common_decoder_false_repair
confirmation,neutral,actual_need,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.3611111111111111,0.3611111111111111,4.0,41.861111111111114,0.05366809116809117,0.9722222222222222,284.9166666666667,601.0,0.0,0.9722222222222222,0.0,0.3611111111111111,0.9722222222222222,0.8019987319729469,-0.0008342498188398731,44.166666666666664,0.9722222222222222,0.3888888888888889,0.0,0.0,5.156420611197457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9722222222222222,1.0,0.6683398862981564,0.7843446089529799,0.6571484071484072,0.4269721903952946,0.8443322777864024,0.4159392705982252,1.0,0.19449300699300698,0.5566482128982129,0.7721445221445221,0.0852879759129759,0.6868565462315462,3.56120000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,284.8888888888889,0.7777777777777778,348.1666666666667,0.3055555555555556,0.7777777777777778,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirmation,neutral,actual_need,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.6111111111111112,0.6111111111111112,4.0,49.0,0.0175,1.0,308.22222222222223,601.0,0.0,1.0,0.0,0.6111111111111112,1.0,0.9401365732478061,-0.0026562671816431,46.94444444444444,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6689989776392187,0.7920206792850545,0.6564685314685315,0.4360144333466826,0.846134330231432,0.4407919985177095,1.0,0.21056721056721056,0.6173271173271173,0.8120629370629371,0.08451825951825952,0.7275446775446776,3.741688888888904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,308.22222222222223,0.9444444444444444,325.72222222222223,0.5555555555555556,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirmation,neutral,actual_need,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.3888888888888889,0.3888888888888889,4.0,49.0,0.0175,1.0,300.22222222222223,601.0,0.0,1.0,0.0,0.3888888888888889,1.0,0.9374823721817629,-0.002585822961803687,45.22222222222222,1.0,0.2222222222222222,0.0,0.0,6.368288373916894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.668345585342355,0.7970215591507281,0.6560800310800311,0.4628672040506742,0.8499642571418538,0.46035320780925276,1.0,0.20367132867132867,0.6066919191919192,0.8278943278943279,0.0770979020979021,0.7507964257964258,3.749605555555571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,300.22222222222223,0.8888888888888888,333.55555555555554,0.3888888888888889,0.8888888888888888,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirmation,neutral,curiosity,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.3611111111111111,0.3611111111111111,4.0,41.25,0.052884615384615384,1.0,288.72222222222223,601.0,0.0,1.0,0.0,0.3611111111111111,1.0,0.8237131589585297,-0.0014983607536218958,45.44444444444444,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6675688268408438,0.7839267036808631,0.6494755244755245,0.0,0.0,0.0,0.0,0.19313325563325565,0.3105089355089355,0.1300019425019425,0.12275398212898213,0.00724796037296037,3.544765277777798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,neutral,curiosity,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.6666666666666666,0.6666666666666666,4.0,49.0,0.0175,1.0,302.3333333333333,601.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.9383872268941953,-0.0020676844944147697,44.44444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.669918061999897,0.7932398213286439,0.6465617715617715,0.0,0.0,0.0,0.0,0.206002331002331,0.3864121989121989,0.1179098679098679,0.130982905982906,-0.01307303807303807,3.7292111111111277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,neutral,curiosity,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.3333333333333333,0.3333333333333333,4.0,49.0,0.0175,1.0,303.3888888888889,601.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.9394130884446057,-0.0016547639045169302,44.611111111111114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6687519649665032,0.7973721459330558,0.6456876456876457,0.0,0.0,0.0,0.0,0.2032828282828283,0.3942307692307692,0.12713675213675213,0.13226495726495727,-0.005128205128205128,3.7334888888889055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,neutral,no_need,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.3888888888888889,0.3888888888888889,4.0,41.47222222222222,0.05316951566951567,1.0,369.44444444444446,601.0,0.0,1.0,0.0,0.3888888888888889,1.0,0.8267754905917866,-0.0009504886428315366,46.888888888888886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6702357952407297,0.7861258614691083,0.5,0.0,0.0,0.0,0.0,0.1556915306915307,0.3105089355089355,0.1300019425019425,0.12275398212898213,0.00724796037296037,3.44000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,neutral,no_need,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.6111111111111112,0.6111111111111112,4.0,49.0,0.0175,1.0,391.44444444444446,601.0,0.0,1.0,0.0,0.6111111111111112,1.0,0.9417731574529644,-0.00218887669238338,45.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.672415193630795,0.7963452457013589,0.5,0.0,0.0,0.0,0.0,0.17132867132867133,0.3864121989121989,0.1179098679098679,0.130982905982906,-0.01307303807303807,3.573500000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,neutral,no_need,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.3333333333333333,0.3333333333333333,4.0,49.0,0.0175,1.0,394.77777777777777,601.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.9404800377947024,-0.0016810641538510256,46.611111111111114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6722754874214056,0.800573016375866,0.5,0.0,0.0,0.0,0.0,0.16724941724941725,0.3942307692307692,0.12713675213675213,0.13226495726495727,-0.005128205128205128,3.573500000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
confirmation,neutral,yoked_need,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.3611111111111111,0.3611111111111111,4.0,41.916666666666664,0.05373931623931624,0.9722222222222222,284.22222222222223,601.0,0.0,0.9722222222222222,0.0,0.3611111111111111,0.9722222222222222,0.7997197241340456,-0.0011173286598298623,43.666666666666664,0.9722222222222222,0.16666666666666666,0.0,0.0,2.0894206755108978e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9722222222222222,1.0,0.6675150446550014,0.7836240316167109,0.6595765345765345,0.04473608924872387,0.35754128385191125,0.40855388241652196,1.0,0.19497863247863248,0.29433760683760685,0.08075951825951826,0.12697892385392384,-0.04621940559440559,3.5579930555555754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,284.19444444444446,0.8333333333333334,330.55555555555554,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
