split,seed,relevance,mode,need_policy,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_bypassed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,self_domain_observation_share,mean_need_target_mass_share,mean_need_true_core_mass_share,mean_sensed_need_mass_share,need_present_step_share,causal_isolating_observation_share,true_core_sensing_share,causal_target_sensing_share,other_core_mean_sensing_share,causal_target_sensing_selectivity,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count,replay_exact_match,replayed_observations,common_decoder_diagnosis_made,common_decoder_kind,common_decoder_observations,common_decoder_mechanism_correct,common_decoder_bridge_correct,common_decoder_validation_attempted,common_decoder_validation_passed,common_decoder_repair_attempted,common_decoder_repair_correct,common_decoder_organization_restored,common_decoder_replication_attempted,common_decoder_replication_success,common_decoder_replicated_restoration,common_decoder_false_repair,yoke_donor_seed,yoke_component_shift
confirmation,30000,neutral,actual_need,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,43,0.05512820512820513,1,264,601,0,1,0,0,1,0.8531634167001945,-4.308053154717523e-05,42,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6385121843054362,0.7742239779140521,0.6555944055944056,0.3359876922636802,0.9064989676476883,0.29530262586017747,1.0,0.1853146853146853,0.513986013986014,0.6136363636363636,0.10358391608391608,0.5100524475524476,3.5489000000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,264,1,no_bridge,264,0,1,0,0,0,0,0,0,0,0,0,,
confirmation,30000,neutral,curiosity,curiosity,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,41,0.052564102564102565,1,282,601,0,1,0,0,1,0.8573851186499354,-0.0026905097514829494,42,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6381464374987308,0.7728399499590484,0.6503496503496503,0.0,0.0,0.0,0.0,0.18356643356643357,0.29982517482517484,0.17482517482517482,0.10620629370629371,0.0686188811188811,3.5439500000000206,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30000,neutral,no_need,none,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,43,0.05512820512820513,1,363,601,0,1,0,0,1,0.8573948938830498,-0.000517024177135085,45,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6395583351337538,0.77685498882283,0.5,0.0,0.0,0.0,0.0,0.14685314685314685,0.29982517482517484,0.17482517482517482,0.10620629370629371,0.0686188811188811,3.44000000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30000,neutral,yoked_need,yoked,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,41,0.052564102564102565,1,267,601,0,1,0,0,1,0.8451617786001466,-0.002934850396163935,42,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6373712973263022,0.7724659857829607,0.6590909090909091,0.020869380863437013,0.19957673775484785,0.3412904599634032,1.0,0.1853146853146853,0.18094405594405594,0.11188811188811189,0.0625,0.04938811188811189,3.5489000000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,267,1,no_bridge,267,0,1,0,0,0,0,0,0,0,0,0,30006,6
confirmation,30000,self_relevant,actual_need,actual,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,43,0.05512820512820513,1,484,601,0,1,1,0,0,0.8541428609231624,1.1213022500754992e-05,89,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7799744653721056,0.8146749096093933,0.6608391608391608,0.13830901653001776,0.8342624144752168,0.3088337468943272,1.0,0.1853146853146853,0.5236013986013986,0.17482517482517482,0.2180944055944056,-0.04326923076923078,3.5538500000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,484,1,no_bridge,484,0,0,0,0,0,0,0,0,0,0,0,,
confirmation,30000,self_relevant,curiosity,curiosity,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,41,0.052564102564102565,1,281,601,0,1,1,0,0,0.8535616624871758,1.1820479305488804e-05,42,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7893096470740146,0.8219781626451066,0.6590909090909091,0.0,0.0,0.0,0.0,0.1853146853146853,0.29982517482517484,0.17482517482517482,0.10620629370629371,0.0686188811188811,3.5489000000000206,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30000,self_relevant,no_need,none,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,1,1,4,43,0.05512820512820513,1,519,519,1,0,0,1,1,0.7847286798305408,0.00408805408083319,80,1,1,1,0,0.02617813702229295,1,1,0,1,1,1,1,1,0,0,0,1,0.8536990608991787,0.8713684595555625,0.5,0.0,0.0,0.0,0.0,0.14685314685314685,0.29982517482517484,0.17482517482517482,0.10620629370629371,0.0686188811188811,3.52040000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
confirmation,30000,self_relevant,yoked_need,yoked,"11,4,5,8,6",5,ring,m3,m2,p4>p2>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,1.0,1.0,0,0,4,41,0.052564102564102565,1,431,601,0,1,1,0,0,0.844956467077853,-0.0001190993473614639,73,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7917382450232522,0.8262461334986503,0.5594405594405595,0.14491801531316426,0.28853030428898563,0.2622935379666744,1.0,0.16083916083916083,0.2762237762237762,0.21328671328671328,0.08479020979020979,0.1284965034965035,3.479600000000018,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,431,1,no_bridge,431,0,0,0,0,0,0,0,0,0,0,0,30006,6
confirmation,30001,neutral,actual_need,actual,"1,0,6,8,7,11",6,chain,m2,m0,p1>p0>p1>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,285,601,0,1,0,1,1,0.9756525256058897,0.0011462739117043136,44,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6458172656402932,0.8012513296588852,0.6625874125874126,0.5169171099491057,0.9071313708817413,0.5326201878296486,1.0,0.22552447552447552,0.7263986013986014,0.9545454545454546,0.09965034965034965,0.8548951048951049,3.727500000000015,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,1,285,1,no_bridge,285,1,1,0,0,0,0,0,0,0,0,0,,
confirmation,30001,neutral,curiosity,curiosity,"1,0,6,8,7,11",6,chain,m2,m0,p1>p0>p1>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,302,601,0,1,0,1,1,0.9775226341576396,-0.0016726113639168485,44,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.648926875108244,0.8017695030804558,0.6468531468531469,0.0,0.0,0.0,0.0,0.22202797202797203,0.5603146853146853,0.03671328671328671,0.21678321678321677,-0.18006993006993005,3.719800000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
