split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,self_relevant,oracle_family_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,129,129,1,0,0,1,1,0.8544487355729123,0.007280194511294556,46,1,1,1,0.02708959036455864,1,1,0,1,1,1,1,1,0,0,0,1,0.7837867028813604,0.839034909934193,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18000,neutral,oracle_family_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,133,281,0,1,0,1,1,0.8544487355729123,-0.0002587137748589342,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7310908104031608,0.769608290407491,2.467600000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18001,self_relevant,oracle_family_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,129,129,1,0,0,1,1,0.9077596294604945,0.009199066627847786,48,1,1,1,0.029135616422332627,1,1,0,1,1,1,1,1,0,0,0,1,0.785842128289878,0.867063747851396,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18001,neutral,oracle_family_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,133,281,0,1,0,1,1,0.9077596294604945,0.0014041836942043527,48,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7447182902540919,0.795903311526367,2.607850000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18002,self_relevant,oracle_family_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,129,129,1,0,0,1,1,0.7892657651950926,0.00919262530515599,48,1,1,1,0.02705503246065827,1,1,0,1,1,1,1,1,0,0,0,1,0.7793715463329578,0.8291813566362233,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18002,neutral,oracle_family_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,149,281,0,1,0,1,1,0.7985552795846005,-0.0034967141134396853,56,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6909535177240012,0.7446191455731668,2.467600000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18003,self_relevant,oracle_family_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,133,133,1,0,0,1,1,0.8463868828784625,0.01040248362261277,50,1,1,1,0.031253121971203154,1,1,0,1,1,1,1,1,0,0,0,1,0.7858613524596455,0.856698916205719,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18003,neutral,oracle_family_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,1,0.00035714285714285714,1,133,281,0,1,0,0,1,0.9754261761535515,-0.0003971361790081965,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5065356470495379,0.740307940865601,2.607850000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18004,self_relevant,oracle_family_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,129,129,1,0,0,1,1,0.7890477887625993,0.015164993842405067,48,1,1,1,0.02699240711061557,1,1,0,1,1,1,1,1,0,0,0,1,0.749253506701859,0.8510792692149252,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18004,neutral,oracle_family_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,133,281,0,1,0,1,1,0.7890477887625993,0.001024260452188606,48,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6608694865511341,0.7919115936971033,2.467600000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
