split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,neutral,reset_actual_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,44,0.0564102564102564,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.7308026977983393,0.769850282156679,2.660300000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18000,self_relevant,reset_actual_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,44,0.0564102564102564,1,218,218,1,0,0,1,1,0.8591773173472421,0.0076216461820516,44,1,1,1,0.0265682794251543,1,1,0,1,1,1,0,0,0,0,0,1,0.7759462275232286,0.8329403374702711,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18001,neutral,reset_actual_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,70,0.025,1,255,281,0,1,0,1,1,0.8995694014542457,-0.002935705225791,45,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7434117038971932,0.7941400858101094,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18001,self_relevant,reset_actual_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,70,0.025,1,255,255,1,0,0,1,1,0.8995694014542457,0.0109846751635055,45,1,1,1,0.029750258137228,1,1,0,1,1,1,1,1,0,0,0,1,0.7430796997092679,0.8434055920507287,2.8435499999999974,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18002,neutral,reset_actual_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,47,0.0602564102564102,1,218,281,0,1,0,1,1,0.7858314540582068,-0.0008118837569111,46,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6879533213049253,0.7406573473833374,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18002,self_relevant,reset_actual_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,47,0.0602564102564102,1,218,218,1,0,0,1,1,0.7858314540582068,0.0087117964447454,46,1,1,1,0.0265353815440799,1,1,0,1,1,1,1,1,0,0,0,1,0.7897368855067488,0.8355754987186806,2.7302500000000025,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18003,neutral,reset_actual_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,70,0.025,1,258,281,0,1,0,0,1,0.979384377215992,-0.0022755421776694,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.504183114860483,0.7374094101537585,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18003,self_relevant,reset_actual_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,251,251,1,0,0,1,1,0.8356146573170379,0.0124644561567855,46,1,1,1,0.0300833753913274,1,1,0,1,1,1,1,1,0,0,0,1,0.7475143489353231,0.831042912181228,2.8435499999999974,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18004,neutral,reset_actual_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,44,0.0564102564102564,1,225,281,0,1,0,1,1,0.788914214418593,-0.007644371876541,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6600820576617252,0.7910033967796265,2.660300000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18004,self_relevant,reset_actual_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,44,0.0564102564102564,1,218,218,1,0,0,1,1,0.7844526931270127,0.0108004096268,46,1,1,1,0.0260865238299902,1,1,0,1,1,1,0,0,0,0,0,1,0.7611225358173236,0.8501035686452443,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18005,neutral,reset_actual_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,70,0.025,1,262,281,0,1,0,0,1,0.9899564160532278,-0.0066539386258924,43,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6842796078097682,0.774731949845186,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18005,self_relevant,reset_actual_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,251,251,1,0,0,1,1,0.8338681420302001,0.0132018776634551,46,1,1,1,0.0289892051339535,1,1,0,1,1,1,1,1,0,0,0,1,0.7862387475664606,0.8399703222752394,2.8435499999999974,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18006,neutral,reset_actual_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,44,0.0564102564102564,1,220,281,0,1,0,1,1,0.729109983822323,0.0059721391101547,50,1,1,0,0.0001147215250137,0,0,0,0,0,0,0,0,0,1,1,1,0.6176357110720648,0.741950960898296,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18006,self_relevant,reset_actual_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,44,0.0564102564102564,1,218,218,1,0,0,1,1,0.729109983822323,0.0128794456858738,50,1,1,1,0.0232833664080708,1,1,0,1,1,1,1,1,0,0,0,1,0.7843055177852725,0.84532662752773,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18007,neutral,reset_actual_generation,"8,0,7,3,9,4",6,chain,m2,m0,p0>p1>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,70,0.025,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.6692808516492672,0.7739411137887077,2.7380499999999977,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18007,self_relevant,reset_actual_generation,"8,0,7,3,9,4",6,chain,m2,m0,p0>p1>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,246,246,1,0,0,1,1,0.9833495111454869,0.0102519689811581,44,1,1,1,0.0300833753913274,1,1,0,1,1,1,1,1,0,0,0,1,0.7713992878009628,0.854670194195101,2.820449999999997,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18008,neutral,reset_actual_generation,"13,11,5,0,4",5,dense,m1,m0,p4>p1>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,44,0.0564102564102564,1,225,281,0,1,0,0,1,0.7965593537060259,0.0004579477943377,48,1,1,0,0.0005587101063225,0,0,0,0,0,0,0,0,0,1,1,1,0.5602330343826212,0.7427749305781871,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18008,self_relevant,reset_actual_generation,"13,11,5,0,4",5,dense,m1,m0,p4>p1>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,44,0.0564102564102564,1,213,213,1,0,0,1,1,0.7113281804441894,0.0060762953312954,48,1,1,1,0.0260678582869595,1,1,0,1,1,1,1,1,0,0,0,1,0.7507455158687452,0.8232607520616104,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18009,neutral,reset_actual_generation,"8,7,0,2,6,1",6,ring,m1,m3,p1>p0>p1>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,70,0.025,1,255,281,0,1,0,0,1,0.8447163496659176,-0.0001322646422559,48,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6183457442449317,0.770610417044312,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18009,self_relevant,reset_actual_generation,"8,7,0,2,6,1",6,ring,m1,m3,p1>p0>p1>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,251,251,1,0,0,1,1,0.8279231433045156,0.0087999578049411,45,1,1,1,0.030306468670502,1,1,0,1,1,1,1,1,0,0,0,1,0.7497290737999918,0.8345403568783046,2.8435499999999974,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18010,neutral,reset_actual_generation,"12,8,11,13,2",5,chain,m3,m0,p7>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,0,0,4,44,0.0564102564102564,1,248,281,0,1,0,0,1,0.8052704408585365,0.0026479848409224,54,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6038764269075566,0.7212712650055157,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18010,self_relevant,reset_actual_generation,"12,8,11,13,2",5,chain,m3,m0,p7>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,44,0.0564102564102564,1,213,213,1,0,0,1,1,0.7093511816208549,0.0071551982294806,46,1,1,1,0.0269177089571303,1,1,0,1,1,1,1,1,0,0,0,1,0.7443074653688688,0.8207155345158729,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18011,neutral,reset_actual_generation,"9,4,3,1,13,8",6,dense,m0,m1,p7>p3>p7>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,262,281,0,1,0,1,1,0.9079215912387032,-0.0005795260112751,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6878408809360277,0.7726313539208384,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18011,self_relevant,reset_actual_generation,"9,4,3,1,13,8",6,dense,m0,m1,p7>p3>p7>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,262,262,1,0,0,1,1,0.9079215912387032,0.015905979412439,44,1,1,1,0.0303271020839431,1,1,0,1,1,1,1,1,0,0,0,1,0.8224472869220022,0.8430681620292572,2.7742499999999946,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18012,neutral,reset_actual_generation,"9,8,1,7,2",5,ring,m2,m1,p1>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,44,0.0564102564102564,1,237,281,0,1,0,1,1,0.8575660110429765,0.0010246308274841,52,1,1,0,0.0001534653239228,0,0,0,0,0,0,0,0,0,1,1,1,0.6079440852052023,0.7425711432606557,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18012,self_relevant,reset_actual_generation,"9,8,1,7,2",5,ring,m2,m1,p1>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,44,0.0564102564102564,1,218,218,1,0,0,1,1,0.8569278931981043,0.0081056219726902,44,1,1,1,0.0253665886108919,1,1,0,1,1,1,1,1,0,0,0,1,0.7673022460942371,0.830626661724974,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18013,neutral,reset_actual_generation,"10,12,2,8,9,3",6,chain,m0,m1,p5>p7>p5>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,0.8571428571428571,1.0,1,1,4,70,0.025,1,255,281,0,1,0,1,1,0.905872978516478,0.0003723096859148,45,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7449038877050882,0.7881490117467101,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18013,self_relevant,reset_actual_generation,"10,12,2,8,9,3",6,chain,m0,m1,p5>p7>p5>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,0.8571428571428571,1.0,1,1,4,70,0.025,1,255,255,1,0,0,1,1,0.905872978516478,0.0098721251387089,45,1,1,1,0.0307611129154227,1,1,0,1,1,1,1,1,0,0,0,1,0.7438973478752083,0.8347770357889103,2.8435499999999974,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18014,neutral,reset_actual_generation,"11,9,3,4,2",5,dense,m2,m0,p5>p3>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,45,0.0576923076923076,1,246,281,0,1,0,1,1,0.8500129372651843,0.0013788731988084,53,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.631570834193258,0.7400400124435585,2.660300000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18014,self_relevant,reset_actual_generation,"11,9,3,4,2",5,dense,m2,m0,p5>p3>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,45,0.0576923076923076,1,218,218,1,0,0,1,1,0.8514580556726703,0.015158232420844,44,1,1,1,0.0269176801567769,1,1,0,1,1,1,1,1,0,0,0,1,0.7421326658837549,0.8072571877839856,2.765100000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18015,neutral,reset_actual_generation,"7,0,8,2,9,6",6,ring,m1,m3,p5>p4>p5>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,70,0.025,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.6630111676592089,0.7746919456022344,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18015,self_relevant,reset_actual_generation,"7,0,8,2,9,6",6,ring,m1,m3,p5>p4>p5>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,251,251,1,0,0,1,1,0.8193367133474339,0.0100653087432886,44,1,1,1,0.0286140704443829,1,1,0,1,1,1,1,1,0,0,0,1,0.7428780827016981,0.8277315249295638,2.8435499999999974,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18016,neutral,reset_actual_generation,"7,0,13,8,11",5,chain,m2,m0,p4>p3>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,0.6,1,1,4,44,0.0564102564102564,1,218,281,0,1,0,1,1,0.8547522061290266,-0.0011858899465049,44,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6321677223804434,0.7363754863835439,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18016,self_relevant,reset_actual_generation,"7,0,13,8,11",5,chain,m2,m0,p4>p3>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,0.6,1,1,4,44,0.0564102564102564,1,218,218,1,0,0,1,1,0.8547522061290266,0.0105605388743682,44,1,1,1,0.0243535751604463,1,1,0,1,1,1,1,1,0,0,0,1,0.819306581431943,0.8638613776539801,2.644999999999997,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18017,neutral,reset_actual_generation,"12,4,10,0,7,2",6,dense,m1,m0,p0>p5>p0>p3,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,70,0.025,1,262,281,0,1,0,0,1,0.9119561558303004,-0.0031624246945991,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6803903423221528,0.7408921091885782,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18017,self_relevant,reset_actual_generation,"12,4,10,0,7,2",6,dense,m1,m0,p0>p5>p0>p3,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,258,258,1,0,0,1,1,0.8482122637210084,0.0099727901059481,45,1,1,1,0.0274611657651806,1,1,0,1,1,1,1,1,0,0,0,1,0.8196327480129131,0.8382319006339785,2.7555499999999937,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18018,neutral,reset_actual_generation,"10,4,7,8,6",5,ring,m3,m0,p7>p1>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.8333333333333334,1.0,0,0,4,44,0.0564102564102564,1,218,281,0,1,0,0,1,0.7890890017130989,-0.0012295606363358,46,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5798190000764075,0.7440519997029234,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18018,self_relevant,reset_actual_generation,"10,4,7,8,6",5,ring,m3,m0,p7>p1>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.8333333333333334,1.0,1,1,4,44,0.0564102564102564,1,213,213,1,0,0,1,1,0.7269228540740915,0.0081850465350735,48,1,1,1,0.0272232423874571,1,1,0,1,1,1,1,1,0,0,0,1,0.7592289817024863,0.82795036308741,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18019,neutral,reset_actual_generation,"8,5,13,4,2,0",6,chain,m2,m0,p6>p2>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,246,281,0,1,0,1,1,0.9884999699287184,4.74035887342919e-05,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6827863336199014,0.7698947555637786,2.7380499999999977,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18019,self_relevant,reset_actual_generation,"8,5,13,4,2,0",6,chain,m2,m0,p6>p2>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,246,246,1,0,0,1,1,0.9884999699287184,0.0101469053489983,44,1,1,1,0.0286140704443829,1,1,0,1,1,1,1,1,0,0,0,1,0.7450259111607219,0.841016838406615,2.820449999999997,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18020,neutral,reset_actual_generation,"11,2,10,13,5",5,dense,m1,m2,p0>p5>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.8333333333333334,1.0,0,0,4,44,0.0564102564102564,1,218,281,0,1,0,0,1,0.867972445373631,3.1318845778075845e-05,44,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6390408860621247,0.735937751432776,2.684700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18020,self_relevant,reset_actual_generation,"11,2,10,13,5",5,dense,m1,m2,p0>p5>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.8333333333333334,1.0,1,1,4,44,0.0564102564102564,1,213,213,1,0,0,1,1,0.7227299868410689,0.0067904700750777,47,1,1,1,0.0270525946111534,1,1,0,1,1,1,1,1,0,0,0,1,0.7684403256825216,0.8119209196687642,2.740700000000003,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
confirmation,18021,neutral,reset_actual_generation,"12,3,9,10,4,0",6,ring,m1,m3,p4>p3>p4>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,255,281,0,1,0,1,1,0.844550370506641,-0.0007369993345942,48,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.692444892818054,0.7895260525018069,2.7611499999999976,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0
