split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,neutral,adversarial_wrong_memory_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,218,281,0,1,0,1,1,0.8573027042458843,-0.000787716532721,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7308423044037246,0.7700102519532253,2.6568500000000035,26,3,0,0.0433184817932321,1.0,relational,0.976881434459256,3.1925561456238107e-06,1.994217866665262e-08,0,0,0,1,0
confirmation,18000,self_relevant,adversarial_wrong_memory_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,206,206,1,0,0,1,1,0.8579363835624327,0.0081054282269257,42,1,1,1,0.0242459078701241,1,1,0,1,1,1,1,1,0,0,0,1,0.785611207751651,0.8437574001756178,2.737250000000003,25,4,0,0.0528127890305592,1.0,relational,0.976881434459256,3.1925561456238107e-06,1.994217866665262e-08,0,0,0,1,0
confirmation,18001,neutral,adversarial_wrong_memory_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,227,281,0,1,0,1,1,0.8950901741027311,-0.0037847266348974,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7439504701983162,0.7947227291381469,2.7485499999999994,27,3,0,0.0023661958257917,1.0,relational,0.9994186099937884,0.011428010819069,1.1953318067102303e-06,0,0,0,1,0
confirmation,18001,self_relevant,adversarial_wrong_memory_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,223,223,1,0,0,1,1,0.8950901741027311,0.0137215408148965,44,1,1,1,0.0277986601205559,1,1,0,1,1,1,1,1,0,0,0,1,0.7688343492820631,0.8587221068357808,2.830949999999999,26,3,0,0.0040210031917575,1.0,relational,0.9994186099937884,0.011428010819069,1.1953318067102303e-06,0,0,0,1,0
confirmation,18002,neutral,adversarial_wrong_memory_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.0538461538461538,1,212,281,0,1,0,1,1,0.7731486966713275,0.0006356028264047,44,1,1,0,3.706964896127053e-05,0,0,0,0,0,0,0,0,0,1,1,1,0.6871439682779827,0.7409042381101256,2.6812500000000035,28,3,1,0.0047877382937959,1.0,relational,0.9986554627252971,0.322925090098512,7.853579726039359e-05,0,0,0,1,0
confirmation,18002,self_relevant,adversarial_wrong_memory_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.0538461538461538,1,206,206,1,0,0,1,1,0.7731486966713275,0.0121821059056977,44,1,1,1,0.0242136354586444,1,1,0,1,1,1,1,1,0,0,0,1,0.7629311071257066,0.8099633315510504,2.737250000000003,27,3,0,0.0060539033029696,1.0,relational,0.9986554627252971,0.322925090098512,7.853579726039359e-05,0,0,0,1,0
confirmation,18003,neutral,adversarial_wrong_memory_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,230,281,0,1,0,0,1,0.976598132519407,-0.0001680475715128,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5048878926889042,0.7382428398820483,2.7485499999999994,29,3,0,0.0301946244925129,1.0,relational,0.991634041328178,0.0002770202490008,5.32201532715428e-07,0,0,0,1,0
confirmation,18003,self_relevant,adversarial_wrong_memory_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,227,227,1,0,0,1,1,0.8363895964154432,0.0138477563374673,48,1,1,1,0.0282931952836762,1,1,0,1,1,1,1,1,0,0,0,1,0.7672164577403232,0.8421252581698065,2.830949999999999,28,3,0,0.0390171663010775,1.0,relational,0.991634041328178,0.0002770202490008,5.32201532715428e-07,0,0,0,1,0
confirmation,18004,neutral,adversarial_wrong_memory_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.0525641025641025,1,248,281,0,1,0,1,1,0.796309215311156,0.0003543084740739,56,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6611476675548678,0.7910644878111719,2.6568500000000035,30,3,0,0.0055954740055549,1.0,relational,0.9983390138328008,0.2564697311574517,8.17569997382567e-05,0,0,0,1,0
confirmation,18004,self_relevant,adversarial_wrong_memory_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.0525641025641025,1,206,206,1,0,0,1,1,0.7773764373038325,0.0096174792062566,44,1,1,1,0.0273543306087212,1,1,0,1,1,1,1,1,0,0,0,1,0.7542549191381629,0.8459608183678388,2.737250000000003,29,3,0,0.0064568594994142,1.0,relational,0.9983390138328008,0.2564697311574517,8.17569997382567e-05,0,0,0,1,0
confirmation,18005,neutral,adversarial_wrong_memory_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,241,281,0,1,0,0,1,0.984774079042562,0.0008350351409688,47,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6849331627237196,0.7753147095614982,2.7485499999999994,31,3,0,0.0342162943368893,1.0,relational,0.9947042399321162,0.0002712431873227,2.986338460012073e-07,0,0,0,1,0
confirmation,18005,self_relevant,adversarial_wrong_memory_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,227,227,1,0,0,1,1,0.8360215958018448,0.0132200035809146,47,1,1,1,0.0305677734299483,1,1,0,1,1,1,1,1,0,0,0,1,0.7867082522826508,0.8457252026148865,2.830949999999999,30,3,0,0.0413840762386295,1.0,relational,0.9947042399321162,0.0002712431873227,2.986338460012073e-07,0,0,0,1,0
confirmation,18006,neutral,adversarial_wrong_memory_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,217,281,0,1,0,1,1,0.7236702997758115,0.0076555117176928,50,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6174949973186501,0.7413327770230692,2.6812500000000035,32,3,1,0.0015108799925345,1.0,relational,0.9992316016460632,0.8292483718855355,0.0001161482090607,0,0,0,1,0
confirmation,18006,self_relevant,adversarial_wrong_memory_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,216,216,1,0,0,1,1,0.7236702997758115,0.0150561227449333,50,1,1,1,0.0258705713694262,1,1,0,1,1,1,0,0,0,0,0,1,0.7709327062880375,0.8093941496828654,2.7372500000000035,31,3,1,0.0013287003316096,1.0,relational,0.9992316016460632,0.8292483718855355,0.0001161482090607,0,0,0,1,0
confirmation,18007,neutral,adversarial_wrong_memory_generation,"8,0,7,3,9,4",6,chain,m2,m0,p0>p1>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,245,281,0,1,0,1,1,0.9821433273029626,-0.0020016817536579,52,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6701316710312185,0.775238138160586,2.72545,33,3,0,0.0319610763737568,1.0,relational,0.9944912071973596,0.0005213097189661,5.959826727422548e-07,0,0,0,1,0
confirmation,18007,self_relevant,adversarial_wrong_memory_generation,"8,0,7,3,9,4",6,chain,m2,m0,p0>p1>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,223,223,1,0,0,1,1,0.9806176692451314,0.0120244818748691,44,1,1,1,0.0289257572367274,1,1,0,1,1,1,1,1,0,0,0,1,0.7790238637588235,0.8631911824967288,2.80785,32,3,0,0.0371892421341133,1.0,relational,0.9944912071973596,0.0005213097189661,5.959826727422548e-07,0,0,0,1,0
confirmation,18008,neutral,adversarial_wrong_memory_generation,"13,11,5,0,4",5,dense,m1,m0,p4>p1>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,42,0.0538461538461538,1,235,281,0,1,0,0,1,0.7965896996198237,-1.7527783044096615e-05,55,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5694382848929451,0.7456415473158066,2.6568500000000035,34,3,0,0.0056795265399144,1.0,relational,0.9973293777628138,0.2325436450686429,0.0001228571721145,0,0,0,1,0
confirmation,18008,self_relevant,adversarial_wrong_memory_generation,"13,11,5,0,4",5,dense,m1,m0,p4>p1>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.0538461538461538,1,211,211,1,0,0,1,1,0.7029011261907065,0.0072218645691693,48,1,1,1,0.026415411122453,1,1,0,1,1,1,1,1,0,0,0,1,0.7428914700423247,0.8153956328996734,2.7372500000000035,33,3,0,0.006683162768559,1.0,relational,0.9973293777628138,0.2325436450686429,0.0001228571721145,0,0,0,1,0
confirmation,18009,neutral,adversarial_wrong_memory_generation,"8,7,0,2,6,1",6,ring,m1,m3,p1>p0>p1>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,234,281,0,1,0,0,1,0.8497809172311477,-3.4936496518329224e-05,49,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6203747747985242,0.7725976820692942,2.7485499999999994,35,3,0,0.00064531470979,1.0,relational,0.9989181080246418,0.9045648737652054,0.0001847763562823,0,0,0,1,0
confirmation,18009,self_relevant,adversarial_wrong_memory_generation,"8,7,0,2,6,1",6,ring,m1,m3,p1>p0>p1>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,218,218,1,0,0,1,1,0.8167039994093706,0.0119356030158038,44,1,1,1,0.0288306200917618,1,1,0,1,1,1,1,1,0,0,0,1,0.7683470193448888,0.8437321669991574,2.830949999999999,34,3,0,0.0007821191085976,1.0,relational,0.9989181080246418,0.9045648737652054,0.0001847763562823,0,0,0,1,0
confirmation,18010,neutral,adversarial_wrong_memory_generation,"12,8,11,13,2",5,chain,m3,m0,p7>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,0,0,4,41,0.0525641025641025,1,211,281,0,1,0,0,1,0.7866517243404468,0.0014945425519757,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6066187046083558,0.7230513597952373,2.6568500000000035,36,3,0,0.0057380032745593,1.0,relational,0.9984429771817076,0.0192284946367091,5.818557289312871e-06,0,0,0,1,0
confirmation,18010,self_relevant,adversarial_wrong_memory_generation,"12,8,11,13,2",5,chain,m3,m0,p7>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.0525641025641025,1,211,211,1,0,0,1,1,0.7150892312356651,0.0082474255650202,46,1,1,1,0.0242131515601132,1,1,0,1,1,1,1,1,0,0,0,1,0.7544883972535292,0.8289542285457315,2.7372500000000035,35,3,0,0.006656999346045,1.0,relational,0.9984429771817076,0.0192284946367091,5.818557289312871e-06,0,0,0,1,0
confirmation,18011,neutral,adversarial_wrong_memory_generation,"9,4,3,1,13,8",6,dense,m0,m1,p7>p3>p7>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,260,281,0,1,0,1,1,0.907698742694708,0.0014863213750644,56,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6894343047630036,0.7744161016954618,2.7485499999999994,36,3,0,0.0018094702566224,1.0,relational,0.9989611712982364,0.018650693162859,3.589901678473697e-06,0,0,0,1,0
confirmation,18011,self_relevant,adversarial_wrong_memory_generation,"9,4,3,1,13,8",6,dense,m0,m1,p7>p3>p7>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,223,223,1,0,0,1,1,0.8874044480134123,0.0167849744828095,44,1,1,1,0.0308526867841773,1,1,0,1,1,1,1,1,0,0,0,1,0.8041305258386465,0.8576887555744198,2.6681499999999923,36,3,0,0.0025698649505467,1.0,relational,0.9989611712982364,0.018650693162859,3.589901678473697e-06,0,0,0,1,0
confirmation,18012,neutral,adversarial_wrong_memory_generation,"9,8,1,7,2",5,ring,m2,m1,p1>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,212,281,0,1,0,1,1,0.8569779999858759,-0.0022363261295021,42,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6090026088272734,0.7419261531251082,2.6812500000000035,37,3,0,0.0404957418863161,1.0,relational,0.9841292232318516,3.8025771768354223e-06,1.3361393563247733e-08,0,0,0,1,0
confirmation,18012,self_relevant,adversarial_wrong_memory_generation,"9,8,1,7,2",5,ring,m2,m1,p1>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,206,206,1,0,0,1,1,0.8569779999858759,0.0084577380199445,42,1,1,1,0.0264599518125691,1,1,0,1,1,1,0,0,0,0,0,1,0.7498468610649439,0.8078983386897631,2.737250000000003,36,3,0,0.050435142338055,1.0,relational,0.9841292232318516,3.8025771768354223e-06,1.3361393563247733e-08,0,0,0,1,0
confirmation,18013,neutral,adversarial_wrong_memory_generation,"10,12,2,8,9,3",6,chain,m0,m1,p5>p7>p5>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,0.8571428571428571,1.0,1,1,4,49,0.0175,1,228,281,0,1,0,1,1,0.8959916079510842,0.0043884623358836,44,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7453414902792567,0.787591025095384,2.79735,38,3,0,0.0020377134177182,1.0,relational,0.99967063311446,0.0086065107010569,4.919220742340302e-07,0,0,0,1,0
confirmation,18013,self_relevant,adversarial_wrong_memory_generation,"10,12,2,8,9,3",6,chain,m0,m1,p5>p7>p5>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,0.8571428571428571,1.0,1,1,4,49,0.0175,1,223,223,1,0,0,1,1,0.8959916079510842,0.0126608167141134,44,1,1,1,0.0278068942938065,1,1,0,1,1,1,1,1,0,0,0,1,0.7701437968052208,0.8404273019456161,2.830949999999999,37,3,0,0.0032437123781116,1.0,relational,0.99967063311446,0.0086065107010569,4.919220742340302e-07,0,0,0,1,0
confirmation,18014,neutral,adversarial_wrong_memory_generation,"11,9,3,4,2",5,dense,m2,m0,p5>p3>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,211,281,0,1,0,1,1,0.8532047458406187,0.0012008763278891,42,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6318063978696005,0.7410703745377267,2.6568500000000035,39,3,0,0.0442289119359732,1.0,relational,0.9708111030173926,6.809105595294195e-06,5.506959250484617e-08,0,0,0,1,0
confirmation,18014,self_relevant,adversarial_wrong_memory_generation,"11,9,3,4,2",5,dense,m2,m0,p5>p3>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,206,206,1,0,0,1,1,0.8532047458406187,0.0162246715785683,42,1,1,1,0.0260643682773305,1,1,0,1,1,1,1,1,0,0,0,1,0.7834943392122525,0.8341536446873755,2.737250000000003,38,3,0,0.0515542256729234,1.0,relational,0.9708111030173926,6.809105595294195e-06,5.506959250484617e-08,0,0,0,1,0
