split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
training,0,self_relevant,reset_actual_generation,"1,10,9",3,ring,m2,m0,p6>p4>p6,3,repeat,A>B>A,1,6,A>B>C>D>E>F,0,320,1,1.0,0.75,1.0,1,1,4,56,0.036036036036036036,1,235,235,1,0,0,1,1,0.8863331194920699,0.006795826135852508,44,1,1,1,0.028081164700294464,1,1,0,1,1,1,1,1,0,0,0,1,0.7490381386753334,0.7724586839400084,3.1375000000000024,0,0,0,0.0,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,1,self_relevant,reset_actual_generation,"13,10,0,12",4,chain,m3,m2,p4>p1>p2,3,delayed,B>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,0.25,1,1,4,56,0.036036036036036036,1,236,236,1,0,0,1,1,0.7074293665958926,0.025374888644942493,48,1,1,1,0.025411500401773927,1,1,0,1,1,1,1,1,0,0,0,1,0.8349795471747422,0.8690339289730589,2.837199999999985,1,1,0,0.0,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,2,self_relevant,reset_actual_generation,"9,3,6",3,dense,m0,m1,p5>p6>p7,3,inhibitor_first,D>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,0.6,1.0,1,1,4,58,0.03732303732303732,1,235,235,1,0,0,1,1,0.8356534425221719,0.00919728450249753,45,1,1,1,0.02867947667127688,1,1,0,1,1,1,1,1,0,0,0,1,0.7495105832161623,0.7958665255573086,3.1375000000000024,2,2,0,0.04505690735045637,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,3,self_relevant,reset_actual_generation,"11,12,6,10",4,ring,m0,m3,p5>p0>p6,3,fork,E>A>B,1,6,A>B>C>D>E>F,0,320,1,1.0,0.8,1.0,1,1,4,70,0.04504504504504504,1,235,235,1,0,0,1,1,0.8120171562793361,0.008980657081163024,46,1,1,1,0.027319764926857323,1,1,0,1,1,1,1,1,0,0,0,1,0.7625117628638275,0.8196976408030417,3.1870000000000003,3,3,0,0.010254747674575015,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,4,self_relevant,reset_actual_generation,"9,12,5",3,chain,m3,m0,p3>p2>p3,3,repeat,A>B>A,1,6,A>B>C>D>E>F,0,320,1,1.0,0.6666666666666666,0.6666666666666666,1,1,4,57,0.03667953667953668,1,231,231,1,0,0,1,1,0.7510694420749053,0.007355497676649674,48,1,1,1,0.027267208402270843,1,1,0,1,1,1,1,1,0,0,0,1,0.7606245871622377,0.8112153685195621,3.1375000000000024,4,4,0,0.004485922862284642,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,5,self_relevant,reset_actual_generation,"2,3,12,10",4,dense,m2,m1,p3>p5>p2,3,delayed,B>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,56,0.036036036036036036,1,235,235,1,0,0,1,1,0.8500683239285693,0.0072885691877350445,44,1,1,1,0.02619105892338366,1,1,0,1,1,1,1,1,0,0,0,1,0.757048701612377,0.7975326532208031,3.1619000000000024,5,4,0,0.005806240710751493,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,6,self_relevant,reset_actual_generation,"10,6,2",3,ring,m3,m1,p6>p4>p5,3,inhibitor_first,D>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,0,0,4,69,0.0444015444015444,0,321,321,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.6166060623051925,0.619721888726228,3.1066000000000003,6,4,0,0.00038013785967789957,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
training,7,self_relevant,reset_actual_generation,"3,11,13,7",4,chain,m2,m0,p5>p4>p6,3,fork,E>A>B,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,69,0.0444015444015444,1,235,235,1,0,0,1,1,0.895465971366656,0.01304747797641632,44,1,1,1,0.027432663937290047,1,1,0,1,1,1,1,1,0,0,0,1,0.7205784540463167,0.823980768665532,3.1870000000000003,6,5,0,0.02901811877132957,0.837,relational,0.0,0.0,0.0,0,0,0,1,0
training,8,self_relevant,reset_actual_generation,"10,8,9",3,dense,m0,m2,p1>p2>p1,3,repeat,A>B>A,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,56,0.036036036036036036,1,231,231,1,0,0,1,1,0.8344357830576116,0.01117660140119075,46,1,1,1,0.027918692544345525,1,1,0,1,1,1,1,1,0,0,0,1,0.7824429726185639,0.8213326504266049,3.1375000000000024,7,4,0,0.0013313816966591986,0.996445,relational,0.0,0.0,0.0,0,0,0,1,0
training,9,self_relevant,reset_actual_generation,"6,11,1,13",4,ring,m2,m1,p0>p4>p2,3,delayed,B>A>C,1,6,A>B>C>D>E>F,0,320,1,1.0,1.0,1.0,1,1,4,57,0.03667953667953668,1,235,235,1,0,0,1,1,0.850343929614426,0.011159702743645684,44,1,1,1,0.025131867454961723,1,1,0,1,1,1,1,1,0,0,0,1,0.7539340346933874,0.8101858002969842,3.1375000000000024,8,4,0,0.0026279785367645378,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
