focal_seed,donor_seed,stratum,component_shift
0,6,5|branch_comp|5|False|ring,9
1,13,6|context_comp|7|False|chain,10
2,8,5|branch_comp|5|False|dense,4
3,15,6|context_comp|7|True|ring,5
4,10,5|branch_comp|5|False|chain,12
5,17,6|context_comp|7|False|dense,13
6,12,5|branch_comp|5|False|ring,7
7,19,6|context_comp|7|True|chain,8
8,14,5|branch_comp|5|False|dense,2
9,21,6|context_comp|7|False|ring,3
10,16,5|branch_comp|5|False|chain,10
11,23,6|context_comp|7|True|dense,11
12,18,5|branch_comp|5|False|ring,5
13,25,6|context_comp|7|False|chain,6
14,20,5|branch_comp|5|False|dense,13
15,27,6|context_comp|7|True|ring,1
16,22,5|branch_comp|5|False|chain,8
17,29,6|context_comp|7|False|dense,9
18,24,5|branch_comp|5|False|ring,3
19,31,6|context_comp|7|True|chain,4
20,26,5|branch_comp|5|False|dense,11
21,33,6|context_comp|7|False|ring,12
22,28,5|branch_comp|5|False|chain,6
23,35,6|context_comp|7|True|dense,7
24,30,5|branch_comp|5|False|ring,1
25,37,6|context_comp|7|False|chain,2
26,32,5|branch_comp|5|False|dense,9
27,39,6|context_comp|7|True|ring,10
28,34,5|branch_comp|5|False|chain,4
29,5,6|context_comp|7|False|dense,10
30,36,5|branch_comp|5|False|ring,12
31,7,6|context_comp|7|True|chain,5
32,38,5|branch_comp|5|False|dense,7
33,9,6|context_comp|7|False|ring,13
34,4,5|branch_comp|5|False|chain,7
35,11,6|context_comp|7|True|dense,8
36,0,5|branch_comp|5|False|ring,5
37,1,6|context_comp|7|False|chain,9
38,2,5|branch_comp|5|False|dense,13
39,3,6|context_comp|7|True|ring,4
