seed,role,status,outcome_access
0,development,executed,development_only
1,development,executed,development_only
2,development,executed,development_only
3,development,executed,development_only
4,development,executed,development_only
5,development,executed,development_only
6,development,executed,development_only
7,development,executed,development_only
8,development,executed,development_only
9,development,executed,development_only
10,development,executed,development_only
11,development,executed,development_only
12,development,executed,development_only
13,development,executed,development_only
14,development,executed,development_only
15,development,executed,development_only
16,development,executed,development_only
17,development,executed,development_only
18,development,executed,development_only
19,development,executed,development_only
20,development,executed,development_only
21,development,executed,development_only
22,development,executed,development_only
23,development,executed,development_only
24,development,executed,development_only
25,development,executed,development_only
26,development,executed,development_only
27,development,executed,development_only
28,development,executed,development_only
29,development,executed,development_only
30,development,executed,development_only
31,development,executed,development_only
32,development,executed,development_only
33,development,executed,development_only
34,development,executed,development_only
35,development,executed,development_only
36,development,executed,development_only
37,development,executed,development_only
38,development,executed,development_only
39,development,executed,development_only
30000,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30001,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30002,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30003,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30004,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30005,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30006,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30007,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30008,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30009,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30010,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30011,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30012,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30013,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30014,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30015,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30016,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30017,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30018,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30019,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30020,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30021,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30022,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30023,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30024,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30025,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30026,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30027,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30028,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30029,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30030,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30031,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30032,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30033,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30034,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30035,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30036,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30037,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30038,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30039,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30040,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30041,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30042,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30043,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30044,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30045,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30046,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30047,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30048,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30049,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30050,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30051,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30052,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30053,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30054,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30055,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30056,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30057,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30058,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30059,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30060,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30061,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30062,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30063,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30064,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30065,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30066,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30067,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30068,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30069,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
30070,confirmatory_focal,sealed_not_executed,prohibited_before_phase_U1_5
